"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","testGetBoard","Command line suite","2025-12-02","passed","2025-12-02","com.testing.tests.retrofit.BoardTestsRetrofit","Command line test","com.testing.tests.retrofit.BoardTestsRetrofit","testGetBoard"
"","532","testUpdateBoard","Command line suite","2025-12-02","passed","2025-12-02","com.testing.tests.retrofit.BoardTestsRetrofit","Command line test","com.testing.tests.retrofit.BoardTestsRetrofit","testUpdateBoard"
"","504","testUpdateBoard","Default Suite","2025-12-02","passed","2025-12-02","com.testing.tests.restassured.boardTestsRestAssured","Api-Cucumber-Testing","com.testing.tests.restassured.boardTestsRestAssured","testUpdateBoard"
"","317","testGetBoard","Default Suite","2025-12-02","passed","2025-12-02","com.testing.tests.restassured.boardTestsRestAssured","Api-Cucumber-Testing","com.testing.tests.restassured.boardTestsRestAssured","testGetBoard"
"","1","testApiCredentialsInDocker","Default Suite","2025-12-08","passed","2025-12-08","com.testing.docker.DockerTestRunner","API-Testing-Allure-Pipeline","com.testing.docker.DockerTestRunner","testApiCredentialsInDocker"
"","608","testDeleteBoard","Command line suite","2025-12-02","passed","2025-12-02","com.testing.tests.retrofit.BoardTestsRetrofit","Command line test","com.testing.tests.retrofit.BoardTestsRetrofit","testDeleteBoard"
"","899","testDeleteBoard","Default Suite","2025-12-02","passed","2025-12-02","com.testing.tests.restassured.boardTestsRestAssured","Api-Cucumber-Testing","com.testing.tests.restassured.boardTestsRestAssured","testDeleteBoard"
"","337","testUpdateBoard","Command line suite","2025-12-02","passed","2025-12-02","com.testing.tests.okhttp.BoardTestsOkHttp","Command line test","com.testing.tests.okhttp.BoardTestsOkHttp","testUpdateBoard"
"","1","verifyDockerContainerEnvironment","Default Suite","2025-12-08","passed","2025-12-08","com.testing.docker.DockerTestRunner","API-Testing-Allure-Pipeline","com.testing.docker.DockerTestRunner","verifyDockerContainerEnvironment"
"","1140","testCreateBoard","Command line suite","2025-12-02","passed","2025-12-02","com.testing.tests.retrofit.BoardTestsRetrofit","Command line test","com.testing.tests.retrofit.BoardTestsRetrofit","testCreateBoard"
"","744","testDeleteBoard","Command line suite","2025-12-02","passed","2025-12-02","com.testing.tests.okhttp.BoardTestsOkHttp","Command line test","com.testing.tests.okhttp.BoardTestsOkHttp","testDeleteBoard"
"","2434","testCreateBoard","Default Suite","2025-12-02","passed","2025-12-02","com.testing.tests.restassured.boardTestsRestAssured","Api-Cucumber-Testing","com.testing.tests.restassured.boardTestsRestAssured","testCreateBoard"
"","5","testAllureResultsPath","Default Suite","2025-12-08","passed","2025-12-08","com.testing.docker.DockerTestRunner","API-Testing-Allure-Pipeline","com.testing.docker.DockerTestRunner","testAllureResultsPath"
"","497","testCreateBoard","Command line suite","2025-12-02","passed","2025-12-02","com.testing.tests.okhttp.BoardTestsOkHttp","Command line test","com.testing.tests.okhttp.BoardTestsOkHttp","testCreateBoard"
"","501","testGetBoard","Command line suite","2025-12-02","passed","2025-12-02","com.testing.tests.okhttp.BoardTestsOkHttp","Command line test","com.testing.tests.okhttp.BoardTestsOkHttp","testGetBoard"
"","1","verifyDockerExecutionCapability","Default Suite","2025-12-08","passed","2025-12-08","com.testing.docker.DockerTestRunner","API-Testing-Allure-Pipeline","com.testing.docker.DockerTestRunner","verifyDockerExecutionCapability"
